xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx || x || x
0000000011100111000000000000000000000000000000001110011100000000 0000110111011011101100001010010100001010010100000000000000000000 || 0 || 1
0000000011100111000000000000000000000000000000001110011100000000 0001101110110111011000010100101000010100101000000000000000000001 || 0 || 1
0000000011100111000000000000000000000000000000001110011100000000 0011011101101110110000101001010000101001010000000000000000000010 || 0 || 1
0000000011100111000000000000000000000000000000001110011100000000 0110111011011101100001010010100001010010100000000000000000000101 || 0 || 1
0000000011100111000000000000000000000000000000001110011100000000 1101110110111011000010100101000010100101000000000000000000001010 || 0 || 1
0000000011100111000000000000000000000000000000001110011100000000 1011101101110110000101001010000101001010000000000000000000010100 || 0 || 1
0000000011100111000000000000000000000000000000001110011100000000 0111011011101100001010010100001010010100000000000000000000101001 || 0 || 1
0000000011100111000000000000000000000000000000001110011100000000 1110110111011000010100101000010100101000000000000000000001010010 || 0 || 1
0000000011100111000000000000000000000000000000001110011100000000 1101101110110000101001010000101001010000000000000000000010100101 || 0 || 1
0000000011100111000000000000000000000000000000001110011100000000 1011011101100001010010100001010010100000000000000000000101001010 || 0 || 1
0000000011100111000000000000000000000000000000001110011100000000 0110111011000010100101000010100101000000000000000000001010010100 || 0 || 1
0000000011100111000000000000000000000000000000001110011100000000 1101110110000101001010000101001010000000000000000000010100101000 || 0 || 1
0000000011100111000000000000000000000000000000001110011100000000 1011101100001010010100001010010100000000000000000000101001010000 || 0 || 1
0000000011100111000000000000000000000000000000001110011100000000 0111011000010100101000010100101000000000000000000001010010100001 || 0 || 1
0000000011100111000000000000000000000000000000001110011100000000 1110110000101001010000101001010000000000000000000010100101000010 || 0 || 1
0000000011100111000000000000000000000000000000001110011100000000 1101100001010010100001010010100000000000000000000101001010000101 || 0 || 1
0000000011100111000000000000000000000000000000001110011100000000 1011000010100101000010100101000000000000000000001010010100001010 || 0 || 1
0000000011100111000000000000000000000000000000001110011100000000 0110000101001010000101001010000000000000000000010100101000010100 || 0 || 1
0000000011100111000000000000000000000000000000001110011100000000 1100001010010100001010010100000000000000000000101001010000101001 || 0 || 1
